time, active_cases
0,163
1,215
2,255
3,296
4,340
5,375
7,439
8,470
9,1274
10,1355
11,1432
12,1496
14,1564
15,1742
16,2145
17,2191
18,2269
19,2327
21,2503
22,2568
23,2616
24,1333
25,1401
26,1416
28,1526
29,1566
30,1586
31,1627
32,1616
33,1616
35,1771
36,1783
37,2005
38,2058
39,2168
40,2303
42,2386
43,2681
44,2820
45,2911
46,2994
47,3097
49,3358
50,3423
51,3523
52,3588
53,3646
54,3683
56,3700
57,3677
58,3644
59,3617
60,3538
61,3464
63,3374
64,3273
65,3205
66,3154
67,3102
68,2977
70,2815
71,2699
72,2604
73,2551
74,2434
75,2332
77,2212
78,2151
79,1884
80,1798
81,1688
84,1357
85,1184
86,1065
87,985
88,869
91,672
92,574
93,516
94,480
95,439
98,330
99,303
100,287
101,276
102,239
105,219
106,211
107,206
108,200
109,196
112,196
113,191
114,181
115,176
116,172
